STUDENT,CLASS,PERIOD
   2,101C,  2
   2,102A,  4
   2,103D,  6
   2,104G,  1
   2,113A,  7
   2,501E,  5
   2,502C,  3
   4,101G,  6
   4,102B,  5
   4,103A,  4
   4,104G,  1
   4,505G,  3
   4,506D,  2
   4,507C,  7
   6,101D,  1
   6,102B,  5
   6,103D,  6
   6,104A,  2
   6,113A,  7
   6,501G,  3
   6,502G,  4
   8,101B,  7
   8,102C,  2
   8,103A,  4
   8,104F,  3
   8,505A,  1
   8,506A,  6
   8,507A,  5
  10,101A,  4
  10,102G,  1
  10,103C,  5
  10,104A,  2
  10,113A,  7
  10,501G,  3
  10,502D,  6
  12,101D,  1
  12,102C,  2
  12,103D,  6
  12,104F,  3
  12,505E,  7
  12,506G,  4
  12,507A,  5
  14,101D,  1
  14,102B,  5
  14,103E,  2
  14,104F,  3
  14,113A,  7
  14,501A,  6
  14,502G,  4
  16,101D,  1
  16,102B,  5
  16,103D,  6
  16,104F,  3
  16,505C,  4
  16,506D,  2
  16,507C,  7
  18,101F,  3
  18,102G,  1
  18,103E,  2
  18,104B,  4
  18,113B,  5
  18,501A,  6
  18,502F,  7
  20,101B,  7
  20,102G,  1
  20,103E,  2
  20,104F,  3
  20,505D,  6
  20,506E,  5
  20,507G,  4
  22,101B,  7
  22,102G,  1
  22,103B,  3
  22,104A,  2
  22,113B,  5
  22,501B,  4
  22,502D,  6
  24,101E,  5
  24,102D,  7
  24,103F,  1
  24,104F,  3
  24,505D,  6
  24,506G,  4
  24,507D,  2
  26,101C,  2
  26,102E,  3
  26,103F,  1
  26,104B,  4
  26,113B,  5
  26,501D,  7
  26,502D,  6
  28,101D,  1
  28,102C,  2
  28,103G,  7
  28,104E,  6
  28,505C,  4
  28,506E,  5
  28,507F,  3
  30,101D,  1
  30,102B,  5
  30,103D,  6
  30,104F,  3
  30,113A,  7
  30,501F,  2
  30,502G,  4
  32,101C,  2
  32,102D,  7
  32,103C,  5
  32,104E,  6
  32,505G,  3
  32,506G,  4
  32,507B,  1
  34,101D,  1
  34,102C,  2
  34,103C,  5
  34,104F,  3
  34,113A,  7
