STUDENT,CLASS,PERIOD
   2,101E,  3
   2,102B,  6
   2,103B,  7
   2,104E,  4
   2,113B,  1
   2,501G,  5
   2,502B,  2
   4,101A,  1
   4,102B,  6
   4,103D,  4
   4,104B,  3
   4,505D,  5
   4,506D,  7
   4,507F,  2
   6,101C,  4
   6,102E,  1
   6,103A,  5
   6,104D,  7
   6,113A,  3
   6,501A,  6
   6,502B,  2
   8,101E,  3
   8,102F,  4
   8,103B,  7
   8,104F,  2
   8,505D,  5
   8,506C,  6
   8,507B,  1
  10,101A,  1
  10,102F,  4
  10,103B,  7
  10,104C,  6
  10,113A,  3
  10,501G,  5
  10,502B,  2
  12,101A,  1
  12,102C,  2
  12,103D,  4
  12,104B,  3
  12,505G,  6
  12,506F,  5
  12,507A,  7
  14,101C,  4
  14,102G,  5
  14,103G,  2
  14,104C,  6
  14,113B,  1
  14,501B,  3
  14,502D,  7
  16,101B,  2
  16,102D,  3
  16,103A,  5
  16,104E,  4
  16,505G,  6
  16,506B,  1
  16,507A,  7
  18,101C,  4
  18,102G,  5
  18,103G,  2
  18,104G,  1
  18,113A,  3
  18,501A,  6
  18,502D,  7
  20,101D,  7
  20,102F,  4
  20,103E,  6
  20,104A,  5
  20,505E,  3
  20,506B,  1
  20,507F,  2
  22,101F,  5
  22,102B,  6
  22,103B,  7
  22,104B,  3
  22,113B,  1
  22,501F,  2
  22,502F,  4
  24,101F,  5
  24,102F,  4
  24,103C,  1
  24,104C,  6
  24,505F,  2
  24,506E,  3
  24,507A,  7
  26,101B,  2
  26,102A,  7
  26,103A,  5
  26,104E,  4
  26,113B,  1
  26,501A,  6
  26,502G,  3
  28,101C,  4
  28,102B,  6
  28,103C,  1
  28,104A,  5
  28,505F,  2
  28,506D,  7
  28,507E,  3
  30,101G,  6
  30,102C,  2
  30,103A,  5
  30,104D,  7
  30,113B,  1
  30,501B,  3
  30,502F,  4
  32,101B,  2
  32,102B,  6
  32,103C,  1
  32,104E,  4
  32,505E,  3
  32,506F,  5
  32,507A,  7
  34,101E,  3
  34,102C,  2
  34,103D,  4
  34,104A,  5
  34,113B,  1
  34,501A,  6
  34,502D,  7
  36,101D,  7
  36,102E,  1
  36,103A,  5
  36,104C,  6
  36,505E,  3
  36,506G,  2
  36,507G,  4
  38,101D,  7
  38,102D,  3
  38,103D,  4
  38,104F,  2
  38,113B,  1
  38,501A,  6
  38,502A,  5
  40,101C,  4
  40,102B,  6
  40,103B,  7
  40,104F,  2
  40,505E,  3
  40,506B,  1
  40,507C,  5
  42,101F,  5
  42,102A,  7
  42,103C,  1
  42,104E,  4
  42,113A,  3
  42,501A,  6
  42,502B,  2
  44,101A,  1
  44,102C,  2
  44,103F,  3
  44,104C,  6
  44,505A,  4
  44,506D,  7
  44,507C,  5
  46,101B,  2
  46,102A,  7
  46,103E,  6
  46,104E,  4
  46,113B,  1
  46,501B,  3
  46,502A,  5
  48,101D,  7
  48,102B,  6
  48,103A,  5
  48,104B,  3
  48,505F,  2
  48,506B,  1
  48,507G,  4
  50,101C,  4
  50,102G,  5
  50,103G,  2
  50,104B,  3
  50,113B,  1
  50,501A,  6
  50,502D,  7
  52,101F,  5
  52,102A,  7
  52,103D,  4
  52,104G,  1
  52,505E,  3
  52,506C,  6
  52,507F,  2
  54,101B,  2
  54,102G,  5
  54,103F,  3
  54,104E,  4
  54,113B,  1
  54,501C,  7
  54,502E,  6
  56,101C,  4
  56,102G,  5
  56,103G,  2
  56,104C,  6
  56,505B,  1
  56,506D,  7
  56,507E,  3
  58,101C,  4
  58,102A,  7
  58,103E,  6
  58,104F,  2
  58,113A,  3
  58,501G,  5
  58,502C,  1
  60,101C,  4
  60,102A,  7
  60,103G,  2
  60,104C,  6
  60,505B,  1
  60,506E,  3
  60,507C,  5
  62,101B,  2
  62,102A,  7
  62,103A,  5
  62,104C,  6
  62,113B,  1
  62,501B,  3
  62,502F,  4
