# this file is created by MakeClasses()
ID,COURSE,CLASS
  1,101,101A
  2,101,101B
  3,101,101C
  4,101,101D
  5,101,101E
  6,101,101F
  7,101,101G
  8,102,102A
  9,102,102B
 10,102,102C
 11,102,102D
 12,102,102E
 13,102,102F
 14,102,102G
 15,103,103A
 16,103,103B
 17,103,103C
 18,103,103D
 19,103,103E
 20,103,103F
 21,103,103G
 22,104,104A
 23,104,104B
 24,104,104C
 25,104,104D
 26,104,104E
 27,104,104F
 28,104,104G
 29,111,111A
 30,111,111B
 31,112,112A
 32,112,112B
 33,113,113A
 34,113,113B
 35,201,201A
 36,201,201B
 37,201,201C
 38,201,201D
 39,201,201E
 40,201,201F
 41,201,201G
 42,202,202A
 43,202,202B
 44,202,202C
 45,202,202D
 46,202,202E
 47,202,202F
 48,202,202G
 49,203,203A
 50,203,203B
 51,203,203C
 52,203,203D
 53,203,203E
 54,203,203F
 55,203,203G
 56,204,204A
 57,204,204B
 58,204,204C
 59,204,204D
 60,204,204E
 61,204,204F
 62,204,204G
 63,211,211A
 64,211,211B
 65,212,212A
 66,212,212B
 67,213,213A
 68,213,213B
 69,301,301A
 70,301,301B
 71,301,301C
 72,301,301D
 73,301,301E
 74,301,301F
 75,301,301G
 76,302,302A
 77,302,302B
 78,302,302C
 79,302,302D
 80,302,302E
 81,302,302F
 82,302,302G
 83,303,303A
 84,303,303B
 85,303,303C
 86,303,303D
 87,303,303E
 88,303,303F
 89,303,303G
 90,304,304A
 91,304,304B
 92,304,304C
 93,304,304D
 94,304,304E
 95,304,304F
 96,304,304G
 97,311,311A
 98,311,311B
 99,312,312A
100,312,312B
101,313,313A
102,313,313B
103,401,401A
104,401,401B
105,401,401C
106,401,401D
107,401,401E
108,401,401F
109,401,401G
110,402,402A
111,402,402B
112,402,402C
113,402,402D
114,402,402E
115,402,402F
116,402,402G
117,403,403A
118,403,403B
119,403,403C
120,403,403D
121,403,403E
122,403,403F
123,403,403G
124,404,404A
125,404,404B
126,404,404C
127,404,404D
128,404,404E
129,404,404F
130,404,404G
131,411,411A
132,411,411B
133,412,412A
134,412,412B
135,413,413A
136,413,413B
137,501,501A
138,501,501B
139,501,501C
140,501,501D
141,501,501E
142,501,501F
143,501,501G
144,502,502A
145,502,502B
146,502,502C
147,502,502D
148,502,502E
149,502,502F
150,502,502G
151,503,503A
152,503,503B
153,503,503C
154,503,503D
155,503,503E
156,503,503F
157,503,503G
158,504,504A
159,504,504B
160,504,504C
161,504,504D
162,504,504E
163,504,504F
164,504,504G
165,505,505A
166,505,505B
167,505,505C
168,505,505D
169,505,505E
170,505,505F
171,505,505G
172,506,506A
173,506,506B
174,506,506C
175,506,506D
176,506,506E
177,506,506F
178,506,506G
179,507,507A
180,507,507B
181,507,507C
182,507,507D
183,507,507E
184,507,507F
185,507,507G
