COURSE,CLASS
101,101A
101,101B
101,101C
101,101D
101,101E
101,101F
101,101G
102,102A
102,102B
102,102C
102,102D
102,102E
102,102F
102,102G
103,103A
103,103B
103,103C
103,103D
103,103E
103,103F
103,103G
104,104A
104,104B
104,104C
104,104D
104,104E
104,104F
104,104G
111,111A
111,111B
112,112A
112,112B
113,113A
113,113B
201,201A
201,201B
201,201C
201,201D
201,201E
201,201F
201,201G
202,202A
202,202B
202,202C
202,202D
202,202E
202,202F
202,202G
203,203A
203,203B
203,203C
203,203D
203,203E
203,203F
203,203G
204,204A
204,204B
204,204C
204,204D
204,204E
204,204F
204,204G
211,211A
211,211B
212,212A
212,212B
213,213A
213,213B
301,301A
301,301B
301,301C
301,301D
301,301E
301,301F
301,301G
302,302A
302,302B
302,302C
302,302D
302,302E
302,302F
302,302G
303,303A
303,303B
303,303C
303,303D
303,303E
303,303F
303,303G
304,304A
304,304B
304,304C
304,304D
304,304E
304,304F
304,304G
311,311A
311,311B
312,312A
312,312B
313,313A
313,313B
401,401A
401,401B
401,401C
401,401D
401,401E
401,401F
401,401G
402,402A
402,402B
402,402C
402,402D
402,402E
402,402F
402,402G
403,403A
403,403B
403,403C
403,403D
403,403E
403,403F
403,403G
404,404A
404,404B
404,404C
404,404D
404,404E
404,404F
404,404G
411,411A
411,411B
412,412A
412,412B
413,413A
413,413B
501,501A
501,501B
501,501C
501,501D
501,501E
501,501F
501,501G
502,502A
502,502B
502,502C
502,502D
502,502E
502,502F
502,502G
503,503A
503,503B
503,503C
503,503D
503,503E
503,503F
503,503G
504,504A
504,504B
504,504C
504,504D
504,504E
504,504F
504,504G
505,505A
505,505B
505,505C
505,505D
505,505E
505,505F
505,505G
506,506A
506,506B
506,506C
506,506D
506,506E
506,506F
506,506G
507,507A
507,507B
507,507C
507,507D
507,507E
507,507F
507,507G
