STUDENT,CLASS,PERIOD
   2,101E,  7
   2,102D,  5
   2,103A,  6
   2,104D,  3
   2,113A,  2
   2,501F,  4
   2,502A,  1
   4,101A,  6
   4,102A,  4
   4,103E,  3
   4,104G,  2
   4,505D,  5
   4,506E,  1
   4,507E,  7
   6,101F,  5
   6,102G,  7
   6,103B,  1
   6,104G,  2
   6,113B,  3
   6,501F,  4
   6,502D,  6
   8,101E,  7
   8,102A,  4
   8,103B,  1
   8,104G,  2
   8,505C,  6
   8,506A,  3
   8,507A,  5
  10,101F,  5
  10,102B,  3
  10,103G,  4
  10,104A,  6
  10,113A,  2
  10,501E,  1
  10,502C,  7
  12,101C,  1
  12,102D,  5
  12,103D,  7
  12,104F,  4
  12,505C,  6
  12,506A,  3
  12,507G,  2
  14,101B,  4
  14,102E,  1
  14,103E,  3
  14,104E,  7
  14,113A,  2
  14,501B,  5
  14,502D,  6
  16,101D,  2
  16,102D,  5
  16,103E,  3
  16,104E,  7
  16,505C,  6
  16,506E,  1
  16,507F,  4
  18,101A,  6
  18,102G,  7
  18,103C,  5
  18,104F,  4
  18,113A,  2
  18,501E,  1
  18,502G,  3
  20,101C,  1
  20,102G,  7
  20,103C,  5
  20,104F,  4
  20,505A,  2
  20,506C,  6
  20,507C,  3
  22,101E,  7
  22,102A,  4
  22,103F,  2
  22,104A,  6
  22,113B,  3
  22,501E,  1
  22,502B,  5
  24,101D,  2
  24,102B,  3
  24,103A,  6
  24,104E,  7
  24,505D,  5
  24,506E,  1
  24,507F,  4
  26,101F,  5
  26,102C,  2
  26,103D,  7
  26,104C,  1
  26,113B,  3
  26,501G,  6
  26,502F,  4
  28,101C,  1
  28,102C,  2
  28,103A,  6
  28,104F,  4
  28,505D,  5
  28,506G,  7
  28,507C,  3
  30,101D,  2
  30,102G,  7
  30,103C,  5
  30,104F,  4
  30,113B,  3
  30,501E,  1
  30,502D,  6
  32,101F,  5
  32,102A,  4
  32,103D,  7
  32,104C,  1
  32,505C,  6
  32,506A,  3
  32,507G,  2
  34,101B,  4
  34,102D,  5
  34,103A,  6
  34,104G,  2
  34,113B,  3
  34,501E,  1
  34,502C,  7
  36,101G,  3
  36,102E,  1
  36,103C,  5
  36,104G,  2
  36,505C,  6
  36,506B,  4
  36,507E,  7
  38,101B,  4
  38,102F,  6
  38,103B,  1
  38,104E,  7
  38,113A,  2
  38,501B,  5
  38,502G,  3
  40,101C,  1
  40,102D,  5
  40,103D,  7
  40,104A,  6
  40,505A,  2
  40,506B,  4
  40,507C,  3
  42,101C,  1
  42,102C,  2
  42,103C,  5
  42,104A,  6
  42,113B,  3
  42,501F,  4
  42,502C,  7
  44,101D,  2
  44,102A,  4
  44,103B,  1
  44,104E,  7
  44,505D,  5
  44,506C,  6
  44,507C,  3
  46,101C,  1
  46,102C,  2
  46,103G,  4
  46,104B,  5
  46,113B,  3
  46,501D,  7
  46,502D,  6
  48,101A,  6
  48,102A,  4
  48,103B,  1
  48,104B,  5
  48,505F,  7
  48,506F,  2
  48,507C,  3
  50,101C,  1
  50,102G,  7
  50,103A,  6
  50,104D,  3
  50,113A,  2
  50,501F,  4
  50,502B,  5
  52,101B,  4
  52,102E,  1
  52,103D,  7
  52,104G,  2
  52,505C,  6
  52,506A,  3
  52,507A,  5
  54,101F,  5
  54,102G,  7
  54,103B,  1
  54,104F,  4
  54,113A,  2
  54,501A,  3
  54,502D,  6
  56,101A,  6
  56,102B,  3
  56,103D,  7
  56,104G,  2
  56,505G,  4
  56,506E,  1
  56,507A,  5
  58,101A,  6
  58,102A,  4
  58,103C,  5
  58,104E,  7
  58,113B,  3
  58,501E,  1
  58,502E,  2
  60,101B,  4
  60,102F,  6
  60,103F,  2
  60,104E,  7
  60,505B,  1
  60,506D,  5
  60,507C,  3
  62,101B,  4
  62,102G,  7
  62,103E,  3
  62,104C,  1
  62,113A,  2
  62,501B,  5
  62,502D,  6
  64,101C,  1
  64,102F,  6
  64,103D,  7
  64,104F,  4
  64,505E,  3
  64,506F,  2
  64,507A,  5
  66,101G,  3
  66,102G,  7
  66,103G,  4
  66,104C,  1
  66,113A,  2
  66,501B,  5
  66,502D,  6
  68,101C,  1
  68,102G,  7
  68,103A,  6
  68,104F,  4
  68,505A,  2
  68,506D,  5
  68,507C,  3
  70,101C,  1
  70,102A,  4
  70,103C,  5
  70,104D,  3
  70,113A,  2
  70,501D,  7
  70,502D,  6
  72,101B,  4
  72,102E,  1
  72,103F,  2
  72,104E,  7
  72,505D,  5
  72,506A,  3
  72,507D,  6
  74,101E,  7
  74,102D,  5
  74,103G,  4
  74,104C,  1
  74,113A,  2
  74,501G,  6
  74,502G,  3
  76,101G,  3
  76,102D,  5
  76,103D,  7
  76,104F,  4
  76,505C,  6
  76,506E,  1
  76,507G,  2
  78,101A,  6
  78,102A,  4
  78,103B,  1
  78,104G,  2
  78,113B,  3
  78,501B,  5
  78,502C,  7
  80,101C,  1
  80,102B,  3
  80,103D,  7
  80,104F,  4
  80,505C,  6
  80,506D,  5
  80,507G,  2
  82,101D,  2
  82,102G,  7
  82,103C,  5
  82,104A,  6
  82,113B,  3
  82,501F,  4
  82,502A,  1
  84,101B,  4
  84,102C,  2
  84,103E,  3
  84,104A,  6
  84,505F,  7
  84,506E,  1
  84,507A,  5
  86,101B,  4
  86,102E,  1
  86,103A,  6
  86,104E,  7
  86,113A,  2
  86,501B,  5
  86,502G,  3
  88,101F,  5
  88,102A,  4
  88,103A,  6
  88,104E,  7
  88,505E,  3
  88,506F,  2
  88,507B,  1
  90,101F,  5
  90,102A,  4
  90,103B,  1
  90,104E,  7
  90,113A,  2
  90,501A,  3
  90,502D,  6
  92,101F,  5
  92,102C,  2
  92,103A,  6
  92,104E,  7
  92,505B,  1
  92,506B,  4
  92,507C,  3
  94,101F,  5
  94,102E,  1
  94,103F,  2
  94,104E,  7
  94,113B,  3
  94,501G,  6
  94,502F,  4
  96,101B,  4
  96,102B,  3
  96,103C,  5
  96,104E,  7
  96,505C,  6
  96,506F,  2
  96,507B,  1
  98,101C,  1
  98,102A,  4
  98,103D,  7
  98,104A,  6
  98,113A,  2
  98,501A,  3
  98,502B,  5
 100,101G,  3
 100,102C,  2
 100,103C,  5
 100,104A,  6
 100,505B,  1
 100,506G,  7
 100,507F,  4
 102,101A,  6
 102,102G,  7
 102,103G,  4
 102,104B,  5
 102,113B,  3
 102,501E,  1
 102,502E,  2
 104,101B,  4
 104,102G,  7
 104,103B,  1
 104,104D,  3
 104,505C,  6
 104,506D,  5
 104,507G,  2
 106,101A,  6
 106,102B,  3
 106,103C,  5
 106,104C,  1
 106,113A,  2
 106,501D,  7
 106,502F,  4
 108,101F,  5
 108,102E,  1
 108,103G,  4
 108,104D,  3
 108,505F,  7
 108,506C,  6
 108,507G,  2
 110,101D,  2
 110,102F,  6
 110,103G,  4
 110,104E,  7
 110,113B,  3
 110,501E,  1
 110,502B,  5
 112,101G,  3
 112,102F,  6
 112,103B,  1
 112,104G,  2
 112,505F,  7
 112,506B,  4
 112,507A,  5
 114,101A,  6
 114,102D,  5
 114,103D,  7
 114,104D,  3
 114,113A,  2
 114,501E,  1
 114,502F,  4
 116,101F,  5
 116,102C,  2
 116,103B,  1
 116,104F,  4
 116,505E,  3
 116,506G,  7
 116,507D,  6
 118,101E,  7
 118,102C,  2
 118,103A,  6
 118,104C,  1
 118,113B,  3
 118,501F,  4
 118,502B,  5
 120,101A,  6
 120,102E,  1
 120,103F,  2
 120,104B,  5
 120,505E,  3
 120,506B,  4
 120,507E,  7
 122,101F,  5
 122,102F,  6
 122,103B,  1
 122,104E,  7
 122,113A,  2
 122,501A,  3
 122,502F,  4
 124,101C,  1
 124,102B,  3
 124,103C,  5
 124,104A,  6
 124,505F,  7
 124,506F,  2
 124,507F,  4
 126,201G,  2
 126,202G,  1
 126,203D,  5
